Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,Q91VZ6,Q91VZ6,-0.813562718,0.813562718,0.011080816,1.96,0.024427344,20,Q91VZ6,Smap1,Stromal membrane-associated protein 1,SMAP1_MOUSE,1,-43.10249553,0.568975045,Female,Male,NaN,NaN,NaN
Female / Male,P80318,P80318,-0.811792704,0.811792704,0.015054328,1.82,0.028581506,20,P80318,Cct3,T-complex protein 1 subunit gamma,TCPG_MOUSE,2,-43.03264628,0.569673537,Female,Male,NaN,NaN,NaN
Female / Male,Q02013,Q02013,-0.809983768,0.809983768,0.009113728,2.04,0.022005265,20,Q02013,Aqp1,Aquaporin-1,AQP1_MOUSE,2,-42.96117245,0.570388276,Female,Male,NaN,NaN,NaN
Female / Male,P70372,P70372,-0.809538024,0.809538024,0.044366422,1.35,0.048666126,20,P70372,Elavl1,ELAV-like protein 1,ELAV1_MOUSE,6,-42.94354667,0.570564533,Female,Male,NaN,NaN,NaN
Female / Male,P62267,P62267,-0.794798897,0.794798897,0.023166452,1.64,0.036004568,20,P62267,Rps23,Small ribosomal subunit protein uS12,RS23_MOUSE,1,-42.35764821,0.576423518,Female,Male,NaN,NaN,NaN
Female / Male,P62965,P62965,-0.794118983,0.794118983,0.017969532,1.75,0.032000536,20,P62965,Crabp1,Cellular retinoic acid-binding protein 1,RABP1_MOUSE,1,-42.33047609,0.576695239,Female,Male,NaN,NaN,NaN
Female / Male,P14824,P14824,-0.792144165,0.792144165,5.90E-06,5.23,0.000164339,20,P14824,Anxa6,Annexin A6,ANXA6_MOUSE,6,-42.25148174,0.577485183,Female,Male,NaN,NaN,NaN
Female / Male,Q9WTY4,Q9WTY4,-0.787434608,0.787434608,0.001971527,2.71,0.00899293,20,Q9WTY4,Aqp5,Aquaporin-5,AQP5_MOUSE,2,-42.0626585,0.579373415,Female,Male,NaN,NaN,NaN
Female / Male,Q8CG16,Q8CG16,-0.784151071,0.784151071,0.021623657,1.67,0.034562403,20,Q8CG16,C1ra,Complement C1r-A subcomponent,C1RA_MOUSE,3,-41.93064443,0.580693556,Female,Male,NaN,NaN,NaN
Female / Male,P51859,P51859,-0.781026997,0.781026997,0.007443158,2.13,0.019882409,20,P51859,Hdgf,Hepatoma-derived growth factor,HDGF_MOUSE,1,-41.80476231,0.581952377,Female,Male,NaN,NaN,NaN
Female / Male,Q6ZQI3,Q6ZQI3,-0.780758811,0.780758811,0.011184918,1.95,0.024427344,20,Q6ZQI3,Mlec,Malectin,MLEC_MOUSE,2,-41.79394325,0.582060567,Female,Male,NaN,NaN,NaN
